no,lon,lat
462,36.52898,36.76318
463,36.53768,36.77976
464,36.54649,36.79631
465,36.55558,36.81276
466,36.56468,36.82921
467,36.57378,36.84566
468,36.58288,36.86211
469,36.59133,36.87878
470,36.59864,36.89579
471,36.60595,36.9128
472,36.61327,36.92981
473,36.62059,36.94682
474,36.62746,36.96395
475,36.63382,36.98121
476,36.64018,36.99846
477,36.64654,37.01572
478,36.65291,37.03297
479,36.66107,37.04974
480,36.67059,37.06605
481,36.68012,37.08235
482,36.68966,37.09865
483,36.6992,37.11495
484,36.7116,37.12998
485,36.72541,37.14421
486,36.73922,37.15844
487,36.75304,37.17266
488,36.76686,37.18689
489,36.77751,37.20275
490,36.78704,37.21906
491,36.79659,37.23537
492,36.80613,37.25167
493,36.81568,37.26798
494,36.82521,37.28429
495,36.83475,37.3006
496,36.84429,37.31691
497,36.85384,37.33322
498,36.86339,37.34953
499,36.87293,37.36584
500,36.88247,37.38215
501,36.89202,37.39847
502,36.90156,37.41478
503,36.91112,37.43109
504,36.92067,37.4474
505,36.38992,36.55847
506,36.40213,36.57355
507,36.41435,36.58863
508,36.42657,36.60371
509,36.4388,36.61879
510,36.45093,36.63391
511,36.46211,36.64951
512,36.47329,36.6651
513,36.48448,36.68069
514,36.49567,36.69629
515,36.50641,36.71208
516,36.5151,36.72867
517,36.5238,36.74525
518,36.53249,36.76184
519,36.5412,36.77842
520,36.55001,36.79497
521,36.5591,36.81142
522,36.5682,36.82787
523,36.5773,36.84431
524,36.5864,36.86076
525,36.59485,36.87743
526,36.60216,36.89445
527,36.60948,36.91146
528,36.61679,36.92847
529,36.62411,36.94548
530,36.63099,36.96261
531,36.63735,36.97986
532,36.64371,36.99712
533,36.65007,37.01437
534,36.65644,37.03163
535,36.6646,37.0484
536,36.67412,37.0647
537,36.68366,37.081
538,36.69319,37.09731
539,36.70273,37.11361
540,36.71514,37.12863
541,36.72895,37.14286
542,36.74276,37.15709
543,36.75658,37.17132
544,36.7704,37.18554
545,36.78105,37.20141
546,36.79058,37.21772
547,36.80013,37.23402
548,36.80967,37.25033
549,36.81922,37.26663
550,36.82876,37.28294
551,36.8383,37.29925
552,36.84784,37.31556
553,36.85739,37.33187
554,36.86694,37.34818
555,36.87648,37.36449
556,36.88602,37.38081
557,36.89556,37.39712
558,36.90511,37.41343
559,36.91467,37.42974
560,36.92422,37.44606
