no,lat,lon
1,36.273,36.369
2,36.389,36.547
3,36.394,36.612
4,36.422,36.671
5,36.453,36.679
6,36.561,36.874
7,36.646,37.086
8,36.912,37.4
9,37.108,37.501
10,37.242,37.537
11,37.438,37.63
12,37.59,37.738
13,37.761,37.87
14,38.076,37.95
15,38.273,38.036
16,38.435,38.056
